10km,15km,20km,25km,30km
5552806.680369366,5161226.312116043,3823947.154188747,3372228.6587316473,2511906.5452313623
5531138.992922938,5153140.126594772,3698959.3305239324,2704354.000280317,3206188.14687494
5544846.885397734,4157870.4439567965,4378719.727919142,3451045.3352892203,2985118.031685374
5539840.954389497,4021145.575925431,3843402.8307605064,3220199.025752804,2923142.892024451
5325352.054760014,4779955.881811529,3844156.6981777125,3156405.9233121313,3280362.8954091743
5312735.315826248,4174016.630495009,3738720.3335934025,3618946.8459915263,3060050.167815082
5270999.418189354,4174894.021331422,3040787.1306773657,3296640.859578161,2899966.927501445
6957807.279506299,4063188.833646137,3841252.460304998,3129501.333706635,2939735.489534214
6946982.5334451925,3306188.1143421396,3555131.179930561,3259531.0405608066,2910506.84850406
5174900.963621184,4160367.193437695,3540787.743141482,3227249.2917343257,2920498.5803476986
4995041.281930534,3866315.8548809257,3479433.756811713,3237778.4543445264,2744407.363264729
6436642.755305419,3851577.1381410025,4218141.884320707,2964804.0694639366,3234561.805121789
5177823.766399064,3787987.990060596,3694632.5390420584,3570204.172536355,2267157.007144322
5178938.247136467,4634696.339204215,3467687.093057752,2441650.8527201707,3168787.5303922095
5049940.57585211,3992576.884005589,3771944.272994456,3508070.90937772,3225691.8071192238
4141435.0852635647,3773511.6388702956,3734696.818877038,3551307.075634868,3161023.0238281786
5148601.582883216,4110982.3624748155,3746105.6323889643,3509985.2955187205,3094977.8298710375
4825693.789866847,4072008.256298602,3289385.9857199923,3395020.438745549,3129603.9082554285
4800121.115725743,4083218.7363316845,4162295.0304449773,3441682.739461031,4320564.22590257
4739734.050357632,3580200.727768588,2750087.1810751725,4755767.21743777,2808241.637489609
4735218.967782017,4571384.101392267,4069897.3157112016,3031047.805125083,3106771.733177958
6187129.741805599,2988791.178178703,4113965.636552133,3428351.4661181117,4328909.5798850395
4957888.136832849,2983316.6249503423,4081861.618628069,4768002.185300791,4332093.056204697
4677784.465425179,4472403.157315634,3955876.0146434596,4769874.555042417,2370222.9489499857
5551467.416483442,4523190.484474543,3998850.855536606,2562662.6640959866,2966417.8843879146
5508772.019670412,4509616.463565296,5556204.023703653,3213829.0487686875,2976072.9260685737
5513737.274057663,4484722.416446086,5557320.340002884,3224042.4194154656,3139540.8277092827
4471517.826803036,4499206.649675197,3388824.9319672254,3393817.2337760753,3126177.086638039
6068872.253042539,4341929.3245759485,3968576.4285408207,3379291.6906751576,2919952.0200186092
3743531.67024279,4395698.368289027,5573878.253217628,3164885.859829722,3143808.117498598
3736605.219796081,5953617.841254201,5579640.0952011505,3404471.330593225,2076276.337129131
5946817.54644003,5954847.876035841,5573733.706022975,2208558.6870835074,2970098.5126381824
6009244.153069707,3668399.5462489044,2853069.308880289,3216491.751712898,2977318.728729726
5994152.647111993,4364487.047634875,3591972.132193453,3224161.4212488206,1919799.794718536
5958498.518056036,5973766.59545187,3593466.361629611,2035679.629826123,3168801.291157911
5980376.875985913,5979052.241854422,3783056.248070317,3437700.8987638876,3198044.6548109516
5810809.95058241,5972669.1772703845,3766944.9193557566,3466690.476990101,2038367.0263733848
5864919.4260798,3112936.6304525123,3530316.1871020272,2167845.3019467248,2779677.1893055066
7453186.858623187,3892004.8399745887,3779287.299954332,3045059.291936082,2602134.733723335
7455509.77289178,3894545.222965925,2489518.4352188283,2873526.853770525,2788181.185960722
4568443.30194261,3888735.583553565,3772427.003960652,3063786.620720677,2596183.3648307035
5795173.024704142,4115697.3945803014,3575391.370470528,2865871.8725778866,2763543.939868917
7512190.90082027,4098089.4415500364,3583708.1326196776,3049063.1267755115,2582385.8320404305
7507711.237643134,3836914.0291513945,2300889.5970949866,3039313.27948249,3961514.9525652537
